Variable,Type,Min,Max,Mean
cnt,Response,22,8714,4504.3488372093025
season,Categorical,1,4,2.496580027359781
mnth,Categorical,1,12,6.519835841313269
holiday,Categorical,0,1,0.028727770177838577
weekday,Categorical,0,6,2.997264021887825
workingday,Categorical,0,1,0.6839945280437757
weathersit,Categorical,1,3,1.3953488372093024
temp,Continuous,0.0591304,0.861667,0.495384789
atemp,Continuous,0.0790696,0.840896,0.47435398864569084
hum,Continuous,0,0.9725,0.6278940629274967
windspeed,Continuous,0.0223917,0.507463,0.190486212
